Time,"Total Power
(W)"
2023-05-10 20:00:00,39838
2023-05-10 20:00:01,39801
2023-05-10 20:00:02,39788
2023-05-10 20:00:03,39826
2023-05-10 20:00:04,39838
2023-05-10 20:00:05,39838
2023-05-10 20:00:06,39826
2023-05-10 20:00:07,39826
2023-05-10 20:00:08,39838
2023-05-10 20:00:09,39838
2023-05-10 20:00:10,39838
2023-05-10 20:00:11,39826
2023-05-10 20:00:12,39876
2023-05-10 20:00:13,39876
2023-05-10 20:00:14,39876
2023-05-10 20:00:15,39888
2023-05-10 20:00:16,39938
2023-05-10 20:00:17,39963
2023-05-10 20:00:18,39963
2023-05-10 20:00:19,39951
2023-05-10 20:00:20,39951
2023-05-10 20:00:21,39951
2023-05-10 20:00:22,39963
2023-05-10 20:00:23,39988
2023-05-10 20:00:24,40063
2023-05-10 20:00:25,40063
2023-05-10 20:00:26,40113
2023-05-10 20:00:27,40213
2023-05-10 20:00:28,40238
2023-05-10 20:00:29,40288
2023-05-10 20:00:30,40288
2023-05-10 20:00:31,40313
2023-05-10 20:00:32,40313
2023-05-10 20:00:33,40363
2023-05-10 20:00:34,40388
2023-05-10 20:00:35,40513
2023-05-10 20:00:36,40501
2023-05-10 20:00:37,40513
2023-05-10 20:00:38,40526
2023-05-10 20:00:39,40513
2023-05-10 20:00:40,40513
2023-05-10 20:00:41,40513
2023-05-10 20:00:42,40488
2023-05-10 20:00:43,40488
2023-05-10 20:00:44,40413
2023-05-10 20:00:45,40276
2023-05-10 20:00:46,40088
2023-05-10 20:00:47,39851
2023-05-10 20:00:48,39688
2023-05-10 20:00:49,39563
2023-05-10 20:00:50,38976
2023-05-10 20:00:51,38701
2023-05-10 20:00:52,38639
2023-05-10 20:00:53,38551
2023-05-10 20:00:54,38501
2023-05-10 20:00:55,38501
2023-05-10 20:00:56,38277
2023-05-10 20:00:57,37814
2023-05-10 20:00:58,37290
2023-05-10 20:00:59,37152
2023-05-10 20:01:00,36777
2023-05-10 20:01:01,36615
2023-05-10 20:01:02,35990
2023-05-10 20:01:03,35928
2023-05-10 20:01:04,35803
2023-05-10 20:01:05,35740
2023-05-10 20:01:06,35740
2023-05-10 20:01:07,35203
2023-05-10 20:01:08,34591
2023-05-10 20:01:09,33829
2023-05-10 20:01:10,33254
2023-05-10 20:01:11,32892
2023-05-10 20:01:12,31942
2023-05-10 20:01:13,30643
2023-05-10 20:01:14,29918
2023-05-10 20:01:15,29918
2023-05-10 20:01:16,29406
2023-05-10 20:01:17,29406
2023-05-10 20:01:18,29231
2023-05-10 20:01:19,27807
2023-05-10 20:01:20,24146
2023-05-10 20:01:21,22934
2023-05-10 20:01:22,21972
2023-05-10 20:01:23,19198
2023-05-10 20:01:24,17761
2023-05-10 20:01:25,15812
2023-05-10 20:01:26,15812
2023-05-10 20:01:27,15312
2023-05-10 20:01:28,15063
2023-05-10 20:01:29,14850
2023-05-10 20:01:30,14025
2023-05-10 20:01:31,13851
2023-05-10 20:01:32,13001
2023-05-10 20:01:33,12851
2023-05-10 20:01:34,12826
2023-05-10 20:01:35,12801
2023-05-10 20:01:36,12739
2023-05-10 20:01:37,12726
2023-05-10 20:01:38,12726
2023-05-10 20:01:39,12714
2023-05-10 20:01:40,12714
2023-05-10 20:01:41,12689
2023-05-10 20:01:42,12651
2023-05-10 20:01:43,12614
2023-05-10 20:01:44,12564
2023-05-10 20:01:45,12564
2023-05-10 20:01:46,12526
2023-05-10 20:01:47,12476
2023-05-10 20:01:48,12476
2023-05-10 20:01:49,12476
2023-05-10 20:01:50,12539
2023-05-10 20:01:51,12539
2023-05-10 20:01:52,12651
2023-05-10 20:01:53,12914
2023-05-10 20:01:54,13301
2023-05-10 20:01:55,13826
2023-05-10 20:01:56,14450
2023-05-10 20:01:57,14513
2023-05-10 20:01:58,15900
2023-05-10 20:01:59,15900
2023-05-10 20:02:00,15900
2023-05-10 20:02:01,16249
2023-05-10 20:02:02,16249
2023-05-10 20:02:03,16437
2023-05-10 20:02:04,16937
2023-05-10 20:02:05,17611
2023-05-10 20:02:06,18348
2023-05-10 20:02:07,19036
2023-05-10 20:02:08,19036
2023-05-10 20:02:09,19385
2023-05-10 20:02:10,19798
