time,posix_timestamp,taurus.alpha.energy
2021-05-27T14:32:35.333440+00:00,1622125955.33344,217551.58500000002
2021-05-27T14:32:36.331707+00:00,1622125956.331707,217551.604
2021-05-27T14:32:37.367290+00:00,1622125957.36729,217551.622
2021-05-27T14:32:38.331221+00:00,1622125958.331221,217551.63999999998
2021-05-27T14:32:39.332624+00:00,1622125959.332624,217551.65699999998
2021-05-27T14:32:40.328965+00:00,1622125960.328965,217551.678
2021-05-27T14:32:41.332570+00:00,1622125961.33257,217551.699
2021-05-27T14:32:42.341717+00:00,1622125962.341717,217551.73400000003
2021-05-27T14:32:43.329749+00:00,1622125963.329749,217551.77499999997
2021-05-27T14:32:44.333656+00:00,1622125964.333656,217551.819
2021-05-27T14:32:45.335223+00:00,1622125965.335223,217551.861
2021-05-27T14:32:46.340174+00:00,1622125966.340174,217551.90599999996
2021-05-27T14:32:47.352282+00:00,1622125967.352282,217551.94700000004
2021-05-27T14:32:48.340377+00:00,1622125968.340377,217551.99300000002
2021-05-27T14:32:49.332506+00:00,1622125969.332506,217552.035
2021-05-27T14:32:50.330462+00:00,1622125970.330462,217552.079
2021-05-27T14:32:51.330750+00:00,1622125971.33075,217552.12400000004
2021-05-27T14:32:52.345791+00:00,1622125972.345791,217552.17200000002
2021-05-27T14:32:53.332407+00:00,1622125973.332407,217552.21899999998
2021-05-27T14:32:54.330684+00:00,1622125974.330684,217552.265
2021-05-27T14:32:55.331925+00:00,1622125975.331925,217552.31400000004
2021-05-27T14:32:56.336680+00:00,1622125976.33668,217552.361
2021-05-27T14:32:57.368410+00:00,1622125977.36841,217552.40800000005
2021-05-27T14:32:58.335932+00:00,1622125978.335932,217552.458
2021-05-27T14:32:59.332479+00:00,1622125979.332479,217552.50400000002
2021-05-27T14:33:00.329629+00:00,1622125980.329629,217552.554
2021-05-27T14:33:01.347098+00:00,1622125981.347098,217552.60400000002
2021-05-27T14:33:02.346680+00:00,1622125982.34668,217552.65400000004
2021-05-27T14:33:03.332374+00:00,1622125983.332374,217552.704
2021-05-27T14:33:04.330441+00:00,1622125984.330441,217552.75300000003
2021-05-27T14:33:05.331535+00:00,1622125985.331535,217552.802
2021-05-27T14:33:06.333767+00:00,1622125986.333767,217552.85299999997
2021-05-27T14:33:07.343787+00:00,1622125987.343787,217552.90300000002
2021-05-27T14:33:08.340135+00:00,1622125988.340135,217552.951
2021-05-27T14:33:09.332912+00:00,1622125989.332912,217553.00199999998
2021-05-27T14:33:10.331229+00:00,1622125990.331229,217553.05399999997
2021-05-27T14:33:11.332696+00:00,1622125991.332696,217553.10700000002
2021-05-27T14:33:12.353833+00:00,1622125992.353833,217553.15700000004
