Time,"Total Power
(W)"
2023-05-06 18:56:13,97811
2023-05-06 18:56:14,97840
2023-05-06 18:56:15,96211
2023-05-06 18:56:16,96328
2023-05-06 18:56:17,94473
2023-05-06 18:56:18,94629
2023-05-06 18:56:19,92920
2023-05-06 18:56:20,92598
2023-05-06 18:56:21,91715
2023-05-06 18:56:22,91281
2023-05-06 18:56:23,90710
2023-05-06 18:56:24,89498
2023-05-06 18:56:25,88899
2023-05-06 18:56:26,87445
2023-05-06 18:56:27,86711
2023-05-06 18:56:28,85784
2023-05-06 18:56:29,84275
2023-05-06 18:56:30,83267
2023-05-06 18:56:31,82341
2023-05-06 18:56:32,81418
2023-05-06 18:56:33,80623
2023-05-06 18:56:34,79492
2023-05-06 18:56:35,78293
2023-05-06 18:56:36,77314
2023-05-06 18:56:37,76065
2023-05-06 18:56:38,74661
2023-05-06 18:56:39,73182
2023-05-06 18:56:40,71489
2023-05-06 18:56:41,69902
2023-05-06 18:56:42,68378
2023-05-06 18:56:43,66861
2023-05-06 18:56:44,65032
2023-05-06 18:56:45,63097
2023-05-06 18:56:46,61049
2023-05-06 18:56:47,59163
2023-05-06 18:56:48,57087
2023-05-06 18:56:49,55056
2023-05-06 18:56:50,52988
2023-05-06 18:56:51,50906
2023-05-06 18:56:52,48830
2023-05-06 18:56:53,46824
2023-05-06 18:56:54,44982
2023-05-06 18:56:55,43069
2023-05-06 18:56:56,41398
2023-05-06 18:56:57,39806
2023-05-06 18:56:58,38496
2023-05-06 18:56:59,38327
2023-05-06 18:57:00,40182
2023-05-06 18:57:01,35013
2023-05-06 18:57:02,33479
2023-05-06 18:57:03,31259
2023-05-06 18:57:04,29169
2023-05-06 18:57:05,28824
2023-05-06 18:57:06,28804
2023-05-06 18:57:07,28763
2023-05-06 18:57:08,28646
2023-05-06 18:57:09,28474
2023-05-06 18:57:10,28453
2023-05-06 18:57:11,28417
2023-05-06 18:57:12,28420
2023-05-06 18:57:13,28378
2023-05-06 18:57:14,28365
2023-05-06 18:57:15,28345
2023-05-06 18:57:16,28369
2023-05-06 18:57:17,28374
2023-05-06 18:57:18,28392
2023-05-06 18:57:19,28376
2023-05-06 18:57:20,28405
2023-05-06 18:57:21,28437
2023-05-06 18:57:22,28450
2023-05-06 18:57:23,28400
2023-05-06 18:57:24,28382
2023-05-06 18:57:25,28356
2023-05-06 18:57:26,28360
2023-05-06 18:57:27,28323
2023-05-06 18:57:28,28276
2023-05-06 18:57:29,28248
2023-05-06 18:57:30,28275
2023-05-06 18:57:31,28314
2023-05-06 18:57:32,28337
2023-05-06 18:57:33,28337
2023-05-06 18:57:34,28394
2023-05-06 18:57:35,28754
2023-05-06 18:57:36,28535
2023-05-06 18:57:37,27962
2023-05-06 18:57:38,27902
2023-05-06 18:57:39,27887
2023-05-06 18:57:40,27850
2023-05-06 18:57:41,27840
2023-05-06 18:57:42,27825
2023-05-06 18:57:43,27808
2023-05-06 18:57:44,27814
2023-05-06 18:57:45,27827
2023-05-06 18:57:46,27842
2023-05-06 18:57:47,27881
2023-05-06 18:57:48,28173
2023-05-06 18:57:49,28254
2023-05-06 18:57:50,28242
2023-05-06 18:57:51,28213
2023-05-06 18:57:52,28206
2023-05-06 18:57:53,28203
2023-05-06 18:57:54,28063
2023-05-06 18:57:55,28025
2023-05-06 18:57:56,28160
2023-05-06 18:57:57,28476
2023-05-06 18:57:58,28211
2023-05-06 18:57:59,28726
2023-05-06 18:58:00,29049
2023-05-06 18:58:01,28901
2023-05-06 18:58:02,28609
2023-05-06 18:58:03,28545
2023-05-06 18:58:04,28530
2023-05-06 18:58:05,28554
2023-05-06 18:58:06,29113
2023-05-06 18:58:07,29735
2023-05-06 18:58:08,29962
2023-05-06 18:58:09,30286
2023-05-06 18:58:10,30300
2023-05-06 18:58:11,30366
2023-05-06 18:58:12,30293
2023-05-06 18:58:13,30060
2023-05-06 18:58:14,29960
2023-05-06 18:58:15,29991
2023-05-06 18:58:16,30013
2023-05-06 18:58:17,30042
2023-05-06 18:58:18,30061
2023-05-06 18:58:19,30033
2023-05-06 18:58:20,30034
2023-05-06 18:58:21,30020
2023-05-06 18:58:22,30003
2023-05-06 18:58:23,29990
2023-05-06 18:58:24,29950
2023-05-06 18:58:25,29947
2023-05-06 18:58:26,29961
2023-05-06 18:58:27,29942
2023-05-06 18:58:28,29948
2023-05-06 18:58:29,30037
2023-05-06 18:58:30,30171
2023-05-06 18:58:31,29988
2023-05-06 18:58:32,29938
2023-05-06 18:58:33,30149
2023-05-06 18:58:34,30335
2023-05-06 18:58:35,30997
2023-05-06 18:58:36,31155
2023-05-06 18:58:37,30905
2023-05-06 18:58:38,30018
2023-05-06 18:58:39,30101
2023-05-06 18:58:40,29999
2023-05-06 18:58:41,29966
2023-05-06 18:58:42,29943
2023-05-06 18:58:43,30269
2023-05-06 18:58:44,31166
2023-05-06 18:58:45,31512
2023-05-06 18:58:46,31370
2023-05-06 18:58:47,31334
2023-05-06 18:58:48,31409
2023-05-06 18:58:49,31320
2023-05-06 18:58:50,30688
2023-05-06 18:58:51,30515
2023-05-06 18:58:52,30611
2023-05-06 18:58:53,30552
2023-05-06 18:58:54,30319
2023-05-06 18:58:55,30317
2023-05-06 18:58:56,30103
2023-05-06 18:58:57,30051
2023-05-06 18:58:58,30056
2023-05-06 18:58:59,29996
2023-05-06 18:59:00,30000
2023-05-06 18:59:01,30028
2023-05-06 18:59:02,30032
2023-05-06 18:59:03,30036
2023-05-06 18:59:04,30017
2023-05-06 18:59:05,30019
2023-05-06 18:59:06,30004
2023-05-06 18:59:07,29966
2023-05-06 18:59:08,29957
2023-05-06 18:59:09,29961
2023-05-06 18:59:10,29962
2023-05-06 18:59:11,29964
2023-05-06 18:59:12,29981
2023-05-06 18:59:13,29994
2023-05-06 18:59:14,30009
2023-05-06 18:59:15,30018
2023-05-06 18:59:16,30061
2023-05-06 18:59:17,30069
