Time,Node Power (W),IB Switch Power AC estimated (W),Total Power (W)
2023-04-28 22:03:43,198064,2470,200534
2023-04-28 22:03:44,196068,2470,198538
2023-04-28 22:03:45,195476,2470,197946
2023-04-28 22:03:46,194552,2470,197022
2023-04-28 22:03:47,193701,2470,196171
2023-04-28 22:03:48,192777,2470,195247
2023-04-28 22:03:49,193517,2470,195987
2023-04-28 22:03:50,193738,2470,196208
2023-04-28 22:03:51,195291,2470,197761
2023-04-28 22:03:52,194367,2470,196837
2023-04-28 22:03:53,194958,2470,197428
2023-04-28 22:03:54,195587,2470,198057
2023-04-28 22:03:55,194848,2470,197318
2023-04-28 22:03:56,194811,2470,197281
2023-04-28 22:03:57,194811,2470,197281
2023-04-28 22:03:58,194404,2470,196874
2023-04-28 22:03:59,194219,2470,196689
2023-04-28 22:04:00,195254,2470,197724
2023-04-28 22:04:01,194737,2470,197207
2023-04-28 22:04:02,195069,2470,197539
2023-04-28 22:04:03,194774,2470,197244
2023-04-28 22:04:04,193073,2470,195543
2023-04-28 22:04:05,193221,2470,195691
2023-04-28 22:04:06,193147,2470,195617
2023-04-28 22:04:07,193480,2470,195950
2023-04-28 22:04:08,193369,2470,195839
2023-04-28 22:04:09,194330,2470,196800
2023-04-28 22:04:10,194256,2470,196726
2023-04-28 22:04:11,194478,2470,196948
2023-04-28 22:04:12,194995,2470,197465
2023-04-28 22:04:13,194811,2470,197281
2023-04-28 22:04:14,194663,2470,197133
2023-04-28 22:04:15,194182,2470,196652
2023-04-28 22:04:16,193738,2470,196208
2023-04-28 22:04:17,193960,2470,196430
2023-04-28 22:04:18,193997,2470,196467
2023-04-28 22:04:19,193369,2470,195839
2023-04-28 22:04:20,193517,2470,195987
2023-04-28 22:04:21,192296,2470,194766
2023-04-28 22:04:22,192186,2470,194656
2023-04-28 22:04:23,192777,2470,195247
2023-04-28 22:04:24,192259,2470,194729
2023-04-28 22:04:25,192814,2470,195284
2023-04-28 22:04:26,192999,2470,195469
2023-04-28 22:04:27,193590,2470,196060
2023-04-28 22:04:28,193738,2470,196208
2023-04-28 22:04:29,193997,2470,196467
2023-04-28 22:04:30,193738,2470,196208
2023-04-28 22:04:31,193627,2470,196097
2023-04-28 22:04:32,192407,2470,194877
2023-04-28 22:04:33,191964,2470,194434
2023-04-28 22:04:34,191520,2470,193990
2023-04-28 22:04:35,191520,2470,193990
2023-04-28 22:04:36,192222,2470,194692
2023-04-28 22:04:37,193258,2470,195728
2023-04-28 22:04:38,193738,2470,196208
2023-04-28 22:04:39,192777,2470,195247
2023-04-28 22:04:40,192112,2470,194582
2023-04-28 22:04:41,192075,2470,194545
2023-04-28 22:04:42,191890,2470,194360
2023-04-28 22:04:43,191816,2470,194286
2023-04-28 22:04:44,193997,2470,196467
2023-04-28 22:04:45,192925,2470,195395
2023-04-28 22:04:46,192666,2470,195136
2023-04-28 22:04:47,193849,2470,196319
2023-04-28 22:04:48,193332,2470,195802
2023-04-28 22:04:49,193738,2470,196208
2023-04-28 22:04:50,193997,2470,196467
2023-04-28 22:04:51,193627,2470,196097
2023-04-28 22:04:52,193554,2470,196024
2023-04-28 22:04:53,193110,2470,195580
2023-04-28 22:04:54,193147,2470,195617
2023-04-28 22:04:55,192555,2470,195025
2023-04-28 22:04:56,192629,2470,195099
2023-04-28 22:04:57,192703,2470,195173
2023-04-28 22:04:58,193073,2470,195543
2023-04-28 22:04:59,192740,2470,195210
2023-04-28 22:05:00,193036,2470,195506
2023-04-28 22:05:01,192481,2470,194951
2023-04-28 22:05:02,192370,2470,194840
2023-04-28 22:05:03,193147,2470,195617
2023-04-28 22:05:04,191335,2470,193805
2023-04-28 22:05:05,192740,2470,195210
2023-04-28 22:05:06,192001,2470,194471
2023-04-28 22:05:07,191927,2470,194397
2023-04-28 22:05:08,192999,2470,195469
2023-04-28 22:05:09,194330,2470,196800
2023-04-28 22:05:10,193960,2470,196430
2023-04-28 22:05:11,194367,2470,196837
2023-04-28 22:05:12,194256,2470,196726
2023-04-28 22:05:13,193960,2470,196430
2023-04-28 22:05:14,192999,2470,195469
2023-04-28 22:05:15,192814,2470,195284
2023-04-28 22:05:16,191668,2470,194138
2023-04-28 22:05:17,191631,2470,194101
2023-04-28 22:05:18,193184,2470,195654
2023-04-28 22:05:19,192925,2470,195395
2023-04-28 22:05:20,193480,2470,195950
2023-04-28 22:05:21,193073,2470,195543
2023-04-28 22:05:22,191409,2470,193879
2023-04-28 22:05:23,190633,2470,193103
2023-04-28 22:05:24,190744,2470,193214
2023-04-28 22:05:25,191372,2470,193842
2023-04-28 22:05:26,191927,2470,194397
2023-04-28 22:05:27,192999,2470,195469
2023-04-28 22:05:28,192370,2470,194840
2023-04-28 22:05:29,192370,2470,194840
2023-04-28 22:05:30,191594,2470,194064
2023-04-28 22:05:31,190152,2470,192622
2023-04-28 22:05:32,188525,2470,190995
2023-04-28 22:05:33,188636,2470,191106
2023-04-28 22:05:34,188303,2470,190773
2023-04-28 22:05:35,188895,2470,191365
2023-04-28 22:05:36,189413,2470,191883
2023-04-28 22:05:37,189819,2470,192289
2023-04-28 22:05:38,188895,2470,191365
2023-04-28 22:05:39,188599,2470,191069
2023-04-28 22:05:40,189782,2470,192252
2023-04-28 22:05:41,188229,2470,190699
2023-04-28 22:05:42,186714,2470,189184
2023-04-28 22:05:43,186492,2470,188962
2023-04-28 22:05:44,185937,2470,188407
2023-04-28 22:05:45,183756,2470,186226
2023-04-28 22:05:46,183571,2470,186041
2023-04-28 22:05:47,186714,2470,189184
2023-04-28 22:05:48,187453,2470,189923
2023-04-28 22:05:49,186085,2470,188555
2023-04-28 22:05:50,186011,2470,188481
2023-04-28 22:05:51,184643,2470,187113
2023-04-28 22:05:52,183312,2470,185782
2023-04-28 22:05:53,185789,2470,188259
2023-04-28 22:05:54,183423,2470,185893
2023-04-28 22:05:55,185530,2470,188000
2023-04-28 22:05:56,186677,2470,189147
2023-04-28 22:05:57,184939,2470,187409
2023-04-28 22:05:58,183682,2470,186152
2023-04-28 22:05:59,182757,2470,185227
2023-04-28 22:06:00,181426,2470,183896
2023-04-28 22:06:01,181242,2470,183712
2023-04-28 22:06:02,181352,2470,183822
2023-04-28 22:06:03,180391,2470,182861
2023-04-28 22:06:04,179874,2470,182344
2023-04-28 22:06:05,182425,2470,184895
2023-04-28 22:06:06,177729,2470,180199
2023-04-28 22:06:07,176398,2470,178868
2023-04-28 22:06:08,176620,2470,179090
2023-04-28 22:06:09,176139,2470,178609
2023-04-28 22:06:10,174771,2470,177241
2023-04-28 22:06:11,175806,2470,178276
2023-04-28 22:06:12,174143,2470,176613
2023-04-28 22:06:13,172960,2470,175430
2023-04-28 22:06:14,174402,2470,176872
2023-04-28 22:06:15,173625,2470,176095
2023-04-28 22:06:16,175843,2470,178313
2023-04-28 22:06:17,175252,2470,177722
2023-04-28 22:06:18,175141,2470,177611
2023-04-28 22:06:19,174291,2470,176761
2023-04-28 22:06:20,175548,2470,178018
2023-04-28 22:06:21,175548,2470,178018
2023-04-28 22:06:22,175030,2470,177500
2023-04-28 22:06:23,173514,2470,175984
2023-04-28 22:06:24,170889,2470,173359
2023-04-28 22:06:25,169225,2470,171695
2023-04-28 22:06:26,168708,2470,171178
2023-04-28 22:06:27,167081,2470,169551
2023-04-28 22:06:28,169484,2470,171954
2023-04-28 22:06:29,168412,2470,170882
2023-04-28 22:06:30,169965,2470,172435
2023-04-28 22:06:31,169854,2470,172324
2023-04-28 22:06:32,173403,2470,175873
2023-04-28 22:06:33,172516,2470,174986
2023-04-28 22:06:34,172257,2470,174727
2023-04-28 22:06:35,170187,2470,172657
2023-04-28 22:06:36,166157,2470,168627
2023-04-28 22:06:37,166083,2470,168553
2023-04-28 22:06:38,165121,2470,167591
2023-04-28 22:06:39,162533,2470,165003
2023-04-28 22:06:40,162163,2470,164633
2023-04-28 22:06:41,161942,2470,164412
2023-04-28 22:06:42,162237,2470,164707
2023-04-28 22:06:43,164567,2470,167037
2023-04-28 22:06:44,163716,2470,166186
2023-04-28 22:06:45,164197,2470,166667
2023-04-28 22:06:46,164271,2470,166741
2023-04-28 22:06:47,164123,2470,166593
2023-04-28 22:06:48,164086,2470,166556
2023-04-28 22:06:49,162755,2470,165225
2023-04-28 22:06:50,161350,2470,163820
2023-04-28 22:06:51,160537,2470,163007
2023-04-28 22:06:52,159206,2470,161676
2023-04-28 22:06:53,157727,2470,160197
2023-04-28 22:06:54,157801,2470,160271
2023-04-28 22:06:55,157542,2470,160012
2023-04-28 22:06:56,157172,2470,159642
2023-04-28 22:06:57,153882,2470,156352
2023-04-28 22:06:58,153512,2470,155982
2023-04-28 22:06:59,151700,2470,154170
2023-04-28 22:07:00,150554,2470,153024
2023-04-28 22:07:01,149001,2470,151471
2023-04-28 22:07:02,149223,2470,151693
2023-04-28 22:07:03,149001,2470,151471
2023-04-28 22:07:04,148188,2470,150658
2023-04-28 22:07:05,149001,2470,151471
2023-04-28 22:07:06,146339,2470,148809
2023-04-28 22:07:07,144786,2470,147256
2023-04-28 22:07:08,144823,2470,147293
2023-04-28 22:07:09,145045,2470,147515
2023-04-28 22:07:10,142124,2470,144594
2023-04-28 22:07:11,141385,2470,143855
2023-04-28 22:07:12,140719,2470,143189
2023-04-28 22:07:13,140645,2470,143115
2023-04-28 22:07:14,138501,2470,140971
2023-04-28 22:07:15,136726,2470,139196
2023-04-28 22:07:16,136134,2470,138604
2023-04-28 22:07:17,136098,2470,138568
2023-04-28 22:07:18,134693,2470,137163
2023-04-28 22:07:19,135099,2470,137569
2023-04-28 22:07:20,130256,2470,132726
2023-04-28 22:07:21,130330,2470,132800
2023-04-28 22:07:22,130330,2470,132800
2023-04-28 22:07:23,128629,2470,131099
2023-04-28 22:07:24,126706,2470,129176
2023-04-28 22:07:25,126263,2470,128733
2023-04-28 22:07:26,122824,2470,125294
2023-04-28 22:07:27,123342,2470,125812
2023-04-28 22:07:28,121197,2470,123667
2023-04-28 22:07:29,121382,2470,123852
2023-04-28 22:07:30,119977,2470,122447
2023-04-28 22:07:31,119608,2470,122078
2023-04-28 22:07:32,117352,2470,119822
2023-04-28 22:07:33,117648,2470,120118
2023-04-28 22:07:34,114875,2470,117345
2023-04-28 22:07:35,111178,2470,113648
2023-04-28 22:07:36,110586,2470,113056
2023-04-28 22:07:37,108220,2470,110690
2023-04-28 22:07:38,105928,2470,108398
2023-04-28 22:07:39,105632,2470,108102
2023-04-28 22:07:40,105299,2470,107769
2023-04-28 22:07:41,103968,2470,106438
2023-04-28 22:07:42,102415,2470,104885
2023-04-28 22:07:43,99642,2470,102112
2023-04-28 22:07:44,97941,2470,100411
2023-04-28 22:07:45,96315,2470,98785
2023-04-28 22:07:46,94392,2470,96862
2023-04-28 22:07:47,92063,2470,94533
2023-04-28 22:07:48,90917,2470,93387
2023-04-28 22:07:49,89659,2470,92129
2023-04-28 22:07:50,92063,2470,94533
2023-04-28 22:07:51,95501,2470,97971
2023-04-28 22:07:52,100825,2470,103295
2023-04-28 22:07:53,126189,2470,128659
2023-04-28 22:07:54,150554,2470,153024
2023-04-28 22:07:55,165269,2470,167739
2023-04-28 22:07:56,174808,2470,177278
2023-04-28 22:07:57,180206,2470,182676
2023-04-28 22:07:58,182573,2470,185043
2023-04-28 22:07:59,183904,2470,186374
2023-04-28 22:08:00,185235,2470,187705
2023-04-28 22:08:01,185124,2470,187594
2023-04-28 22:08:02,184199,2470,186669
2023-04-28 22:08:03,181759,2470,184229
2023-04-28 22:08:04,181648,2470,184118
2023-04-28 22:08:05,177877,2470,180347
2023-04-28 22:08:06,174771,2470,177241
2023-04-28 22:08:07,176953,2470,179423
2023-04-28 22:08:08,178690,2470,181160
2023-04-28 22:08:09,185346,2470,187816
2023-04-28 22:08:10,190004,2470,192474
2023-04-28 22:08:11,190818,2470,193288
2023-04-28 22:08:12,190374,2470,192844
2023-04-28 22:08:13,190744,2470,193214
2023-04-28 22:08:14,190115,2470,192585
2023-04-28 22:08:15,190300,2470,192770
2023-04-28 22:08:16,191483,2470,193953
2023-04-28 22:08:17,192444,2470,194914
2023-04-28 22:08:19,192814,2470,195284
