timestamp,barnard.hpc.energy
2023-05-12T07:12:35.280960+00:00,1123970119587.0
2023-05-12T07:12:36.280935+00:00,1123970590113.84
2023-05-12T07:12:37.280212+00:00,1123971180359.7603
2023-05-12T07:12:38.280061+00:00,1123971721183.8
2023-05-12T07:12:39.280621+00:00,1123972261723.8
2023-05-12T07:12:40.281020+00:00,1123972797052.08
2023-05-12T07:12:41.280607+00:00,1123973340412.32
2023-05-12T07:12:42.280577+00:00,1123973886435.12
2023-05-12T07:12:43.280165+00:00,1123974367747.2
2023-05-12T07:12:44.280188+00:00,1123974947258.64
2023-05-12T07:12:45.279415+00:00,1123975488024.36
2023-05-12T07:12:46.281021+00:00,1123976038673.1602
2023-05-12T07:12:47.280993+00:00,1123976492168.04
2023-05-12T07:12:48.280968+00:00,1123977086050.6802
2023-05-12T07:12:49.279733+00:00,1123977632278.3198
2023-05-12T07:12:50.280856+00:00,1123978166529.48
2023-05-12T07:12:51.280756+00:00,1123978713793.5598
2023-05-12T07:12:52.280524+00:00,1123979260029.12
2023-05-12T07:12:53.280157+00:00,1123979805546.48
2023-05-12T07:12:54.280351+00:00,1123980256347.84
2023-05-12T07:12:55.280721+00:00,1123980852290.04
2023-05-12T07:12:56.280429+00:00,1123981398087.48
2023-05-12T07:12:57.280228+00:00,1123981942814.64
2023-05-12T07:12:58.280221+00:00,1123982438047.2
2023-05-12T07:12:59.281042+00:00,1123983005172.12
2023-05-12T07:13:00.280406+00:00,1123983551283.1199
2023-05-12T07:13:01.279323+00:00,1123984066699.44
2023-05-12T07:13:02.280437+00:00,1123984583155.8
2023-05-12T07:13:03.280760+00:00,1123985138952.9602
2023-05-12T07:13:04.280412+00:00,1123985684869.56
2023-05-12T07:13:05.281080+00:00,1123986164559.8398
2023-05-12T07:13:06.281029+00:00,1123986743372.16
2023-05-12T07:13:07.280494+00:00,1123987289227.92
2023-05-12T07:13:08.280038+00:00,1123987834423.44
2023-05-12T07:13:09.280083+00:00,1123988342679.0
2023-05-12T07:13:10.280065+00:00,1123988903677.8
2023-05-12T07:13:11.280524+00:00,1123989449834.88
2023-05-12T07:13:12.280810+00:00,1123989965444.52
2023-05-12T07:13:13.280984+00:00,1123990514207.6401
2023-05-12T07:13:14.280378+00:00,1123991055670.68
2023-05-12T07:13:15.280059+00:00,1123991601207.84
2023-05-12T07:13:16.280153+00:00,1123992063792.72
2023-05-12T07:13:17.279852+00:00,1123992657663.84
2023-05-12T07:13:18.280099+00:00,1123993204199.28
2023-05-12T07:13:19.280697+00:00,1123993746636.1199
2023-05-12T07:13:20.280935+00:00,1123994259278.6401
2023-05-12T07:13:21.280860+00:00,1123994814604.2
2023-05-12T07:13:22.280762+00:00,1123995360770.28
2023-05-12T07:13:23.280319+00:00,1123995863154.6
2023-05-12T07:13:24.280301+00:00,1123996429680.48
2023-05-12T07:13:25.280933+00:00,1123996976032.3198
2023-05-12T07:13:26.281034+00:00,1123997521549.3198
2023-05-12T07:13:27.280163+00:00,1123997964735.96
2023-05-12T07:13:28.280712+00:00,1123998565886.64
2023-05-12T07:13:29.280036+00:00,1123999112325.5999
2023-05-12T07:13:30.281040+00:00,1123999648118.28
2023-05-12T07:13:31.280085+00:00,1124000125284.5999
2023-05-12T07:13:32.280505+00:00,1124000701945.56
2023-05-12T07:13:33.279362+00:00,1124001248136.84
2023-05-12T07:13:34.280208+00:00,1124001760041.36
2023-05-12T07:13:35.280216+00:00,1124002273775.4
2023-05-12T07:13:36.280548+00:00,1124002831853.88
2023-05-12T07:13:37.280504+00:00,1124003377770.1199
2023-05-12T07:13:38.280474+00:00,1124003856556.7998
2023-05-12T07:13:39.281053+00:00,1124004439474.5598
2023-05-12T07:13:40.280463+00:00,1124004985892.28
