time,power
2021-05-27T14:32:00+00:00,65216.0
2021-05-27T14:32:01+00:00,65469.0
2021-05-27T14:32:02+00:00,64909.0
2021-05-27T14:32:03+00:00,62471.0
2021-05-27T14:32:04+00:00,62279.0
2021-05-27T14:32:05+00:00,62145.0
2021-05-27T14:32:06+00:00,62104.0
2021-05-27T14:32:07+00:00,62048.0
2021-05-27T14:32:08+00:00,62031.0
2021-05-27T14:32:09+00:00,62016.0
2021-05-27T14:32:10+00:00,62138.0
2021-05-27T14:32:11+00:00,62856.0
2021-05-27T14:32:12+00:00,70201.0
2021-05-27T14:32:13+00:00,71447.0
2021-05-27T14:32:14+00:00,71461.0
2021-05-27T14:32:15+00:00,71491.0
2021-05-27T14:32:16+00:00,71498.0
2021-05-27T14:32:17+00:00,71530.0
2021-05-27T14:32:18+00:00,71523.0
2021-05-27T14:32:19+00:00,71532.0
2021-05-27T14:32:20+00:00,71525.0
2021-05-27T14:32:21+00:00,71469.0
2021-05-27T14:32:22+00:00,71411.0
2021-05-27T14:32:23+00:00,71409.0
2021-05-27T14:32:24+00:00,71409.0
2021-05-27T14:32:25+00:00,71380.0
2021-05-27T14:32:26+00:00,71340.0
2021-05-27T14:32:27+00:00,71324.0
2021-05-27T14:32:28+00:00,71305.0
2021-05-27T14:32:29+00:00,71310.0
2021-05-27T14:32:30+00:00,71080.0
2021-05-27T14:32:31+00:00,71362.0
2021-05-27T14:32:32+00:00,71443.0
2021-05-27T14:32:33+00:00,71326.0
2021-05-27T14:32:34+00:00,69717.0
2021-05-27T14:32:35+00:00,69035.0
2021-05-27T14:32:36+00:00,66939.0
2021-05-27T14:32:37+00:00,66470.0
2021-05-27T14:32:38+00:00,66538.0
2021-05-27T14:32:39+00:00,66928.0
2021-05-27T14:32:40+00:00,66931.0
2021-05-27T14:32:41+00:00,70180.0
2021-05-27T14:32:42+00:00,128760.0
2021-05-27T14:32:43+00:00,152738.0
2021-05-27T14:32:44+00:00,152944.0
2021-05-27T14:32:45+00:00,155258.0
2021-05-27T14:32:46+00:00,155486.0
2021-05-27T14:32:47+00:00,155721.0
2021-05-27T14:32:48+00:00,157678.0
2021-05-27T14:32:49+00:00,159256.0
2021-05-27T14:32:50+00:00,160902.0
2021-05-27T14:32:51+00:00,162467.0
2021-05-27T14:32:52+00:00,164962.0
2021-05-27T14:32:53+00:00,168295.0
2021-05-27T14:32:54+00:00,169504.0
2021-05-27T14:32:55+00:00,171061.0
2021-05-27T14:32:56+00:00,172344.0
2021-05-27T14:32:57+00:00,173816.0
2021-05-27T14:32:58+00:00,174463.0
2021-05-27T14:32:59+00:00,175162.0
2021-05-27T14:33:00+00:00,176267.0
2021-05-27T14:33:01+00:00,177571.0
2021-05-27T14:33:02+00:00,178059.0
2021-05-27T14:33:03+00:00,178520.0
2021-05-27T14:33:04+00:00,179340.0
2021-05-27T14:33:05+00:00,179649.0
2021-05-27T14:33:06+00:00,180329.0
2021-05-27T14:33:07+00:00,179937.0
2021-05-27T14:33:08+00:00,180987.0
2021-05-27T14:33:09+00:00,181521.0
2021-05-27T14:33:10+00:00,182475.0
2021-05-27T14:33:11+00:00,182568.0
2021-05-27T14:33:12+00:00,182867.0
2021-05-27T14:33:13+00:00,182661.0
2021-05-27T14:33:14+00:00,184192.0
2021-05-27T14:33:15+00:00,184052.0
2021-05-27T14:33:16+00:00,184628.0
2021-05-27T14:33:17+00:00,184737.0
2021-05-27T14:33:18+00:00,185751.0
2021-05-27T14:33:19+00:00,186208.0
